Members,Lengths,Member Forces
1,4.301162634,-86.02235409
2,5,70.00081682
3,4.301162634,-86.02235411
4,5,70.00081679
5,4.272001873,-87.18364413
6,4.716990566,-22.86293792
7,4,0
8,4.272001873,-87.18364411
9,4.716990566,-22.8629379
10,2.915475947,22.60997021
11,2.5,93.75005989
12,2.5,93.75005996
13,2.915475947,22.60997019
